Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,1
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,1
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,1
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,1
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,1
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,1
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,1
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,1
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,1
swift,2017,6,6.49,16200,Petrol,Individual,Manual,0
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,1
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0
alto k10,2016,3,3.76,10079,Petrol,Dealer,Manual,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,1
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,1
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0
innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,1
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
fortuner,2017,33,36.23,6000,Diesel,Dealer,Automatic,1
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,1
innova,2017,23,25.39,15000,Diesel,Dealer,Automatic,1
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0
fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,1
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0
amaze,2015,4,5.8,40023,Petrol,Dealer,Manual,0
amaze,2015,4,7,40026,Petrol,Dealer,Manual,0
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0
city,2016,8.99,11.8,9010,Petrol,Dealer,Manual,0
amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0
city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0
XUV500,2020,12.37,13.74,15001,Diesel,Dealer,manual,1
THAR,2021,11.25,12.5,12900,Petrol & Diesel,Dealer,Automatic,1
SCORPIO N,2022,13.6,15.11,4492,Diesel,Dealer,Automatic,1
MARRAZO,2023,14.39,15.99,15141,Diesel,Dealer,manual,1
S-PRESSO,2020,4.26,4.73,11849,CNG,Dealer,manual,1
VITARA BREZZA,2021,8.34,9.27,68000,Petrol,Dealer,Automatic,0
BALENO,2022,6.66,7.4,12500,Petrol,Dealer,Automatic,1
FRONX,2023,7.51,8.34,15000,Petrol,Dealer,Automatic,1
NEXON,2020,14.18,15.76,38488,Diesel,Dealer,manual,0
PUNCH,2021,6.13,6.81,61381,Petrol,Dealer,Automatic,1
TIAGO,2022,5.65,6.28,24678,CNG,Dealer,Automatic,0
SAFARI,2023,16.19,17.99,15001,Diesel,Dealer,Automatic,0
Tuv 300,2019,7.35,8.17,12900,Diesel,Dealer,Automatic,0
harrier,2019,15.49,17.21,4492,Diesel,Dealer,Automatic,1
venue,2019,7.93,8.81,15141,Petrol & Diesel,Individual,Automatic,1
seltos,2019,10.89,12.1,11849,Diesel,Dealer,Automatic,0
hector,2019,12.28,13.65,68000,Diesel,Dealer,manual,1
NEXON,2023,8,8.89,40026,Diesel,Dealer,Automatic,0
sonet,2020,7.79,8.66,19434,Diesel,Dealer,Automatic,0
elevate,2023,11.9,13.22,9010,Petrol,Dealer,Automatic,1
verna,2020,9.46,10.51,44000,Diesel,Dealer,Automatic,1
XUV700,2021,13.99,15.54,34000,Diesel,Dealer,Automatic,1
Triber,2019,6.21,6.9,15141,Petrol,Dealer,Automatic,1
glanza,2019,6.86,7.62,44000,Petrol,Dealer,Automatic,0
Innova highcorss,2022,19.77,21.97,4492,Petrol,Dealer,Automatic,1
vellfire,2022,120,133.33,12900,Petrol,Dealer,Automatic,1
XL6,2019,11.61,12.9,6900,Petrol,Dealer,Automatic,1
invicto,2023,25.21,28.01,2071,Petrol,Dealer,Automatic,1
T roc,2020,20.21,22.46,18796,Petrol,Dealer,Automatic,0
Q3,2019,43.81,48.68,33429,Petrol,Dealer,Automatic,0
kiger,2021,6,6.67,20273,Petrol,Individual,Automatic,1
6 series,2023,73.5,81.67,42367,Diesel,Individual,Automatic,1
2 series,2020,43.9,48.78,2135,Diesel,Individual,Automatic,0
X1,2023,49.5,55,51000,Diesel,Dealer,Automatic,0
X4,2019,96.2,106.89,15000,Petrol,Dealer,Automatic,1
astor,2021,9.98,11.09,26000,Petrol,Dealer,Automatic,0
gloster,2020,38.8,43.11,43000,Diesel,Dealer,Automatic,1
aura,2020,6.49,7.21,35500,Petrol,Dealer,manual,1
exter,2023,6.13,6.81,2500,Petrol,Dealer,Automatic,1
slavia,2022,11.53,12.81,3110,Petrol,Dealer,Automatic,1
